Relative Intensity vs Linear Position, Run #6
Linear Position ( m )	Relative Intensity (  )
-0.052	0.07
-0.052	0.08
-0.052	0.08
-0.053	0.07
-0.053	0.08
-0.053	0.08
-0.054	0.08
-0.054	0.08
-0.055	0.08
-0.055	0.08
-0.055	0.09
-0.055	0.08
-0.056	0.09
-0.056	0.09
-0.056	0.09
-0.057	0.09
-0.057	0.09
-0.057	0.09
-0.057	0.09
-0.058	0.09
-0.058	0.09
-0.058	0.09
-0.059	0.10
-0.059	0.10
-0.059	0.09
-0.059	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.08
-0.060	0.09
-0.060	0.09
-0.060	0.09
-0.060	0.08
-0.060	0.09
-0.061	0.09
-0.061	0.09
-0.061	0.09
-0.061	0.09
-0.061	0.09
-0.062	0.09
-0.062	0.09
-0.062	0.08
-0.062	0.08
-0.063	0.09
-0.063	0.08
-0.063	0.08
-0.063	0.08
-0.064	0.08
-0.064	0.08
-0.064	0.08
-0.064	0.08
-0.065	0.08
-0.065	0.08
-0.065	0.08
-0.065	0.07
-0.066	0.08
-0.066	0.08
-0.066	0.07
-0.066	0.08
-0.067	0.08
-0.067	0.08
-0.067	0.08
-0.068	0.08
-0.068	0.08
-0.068	0.08
-0.069	0.08
-0.069	0.08
-0.069	0.09
-0.069	0.09
-0.070	0.09
-0.070	0.09
-0.070	0.09
-0.070	0.10
-0.070	0.10
-0.071	0.09
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.10
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.11
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.11
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.071	0.10
-0.072	0.11
-0.072	0.11
-0.072	0.11
-0.072	0.10
-0.072	0.11
