Angular Position ( deg )	Relative Intensity (  )
345.1	36.63
346.1	35.25
347.7	35.46
348.9	38.43
350.0	44.10
351.5	53.04
353.0	66.06
354.0	77.25
355.1	92.14
356.6	115.16
358.5	141.75
359.7	167.78
361.1	199.57
363.2	252.70
365.4	311.97
367.4	371.20
369.5	438.51
371.3	508.01
373.6	593.19
375.5	667.95
377.5	747.28
379.5	839.09
381.8	939.66
384.1	1046.43
386.3	1153.50
388.8	1271.88
391.3	1394.64
393.5	1501.09
395.6	1599.04
397.2	1682.80
399.0	1763.74
400.5	1846.71
401.9	1915.09
403.7	1990.72
405.5	2069.67
407.6	2156.86
410.1	2260.30
412.4	2343.76
413.0	2370.42
413.1	2369.99
413.1	2372.00
413.1	2373.31
413.1	2374.76
413.1	2375.60
413.1	2375.76
413.1	2374.26
413.1	2374.17
413.1	2374.97
413.1	2373.84
413.1	2374.23
413.1	2374.87
413.1	2374.36
413.1	2374.22
413.1	2374.29
413.1	2373.33
413.1	2374.23
413.1	2375.23
413.1	2374.83
413.1	2373.45
413.1	2373.69
413.1	2373.72
413.1	2374.81
413.1	2375.32
413.1	2377.08
413.1	2377.08
413.1	2377.43
413.1	2377.83
413.1	2380.16
413.2	2384.53
413.2	2384.75
413.2	2385.15
413.4	2390.90
413.5	2394.07
414.5	2406.89
415.1	2436.14
415.2	2444.00
417.0	2502.70
417.6	2521.07
419.6	2558.05
421.1	2618.47
421.9	2635.01
424.4	2680.76
426.4	2714.02
428.6	2744.60
429.8	2756.91
432.8	2785.87
435.2	2793.31
437.4	2800.21
439.7	2792.11
442.6	2774.99
444.9	2751.44
447.4	2716.25
450.0	2659.84
452.8	2591.48
455.3	2521.63
457.7	2445.91
460.4	2358.31
462.5	2275.28
464.9	2185.43
467.2	2079.88
469.4	1986.63
471.8	1883.07
474.1	1777.39
476.8	1656.43
479.5	1533.65
482.4	1395.69
485.5	1251.27
487.4	1146.68
489.2	1072.62
490.1	1027.28
490.9	987.40
491.1	976.07
491.1	976.49
491.1	976.49
491.1	976.31
491.1	976.75
491.1	979.38
491.0	979.36
491.0	979.75
491.0	979.50
491.0	978.99
491.0	978.81
491.0	979.30
491.0	979.76
491.0	979.91
491.0	979.69
491.0	979.62
491.0	979.74
491.0	979.54
491.0	978.89
