Relative Intensity vs Linear Position, Run #1
Linear Position ( m )	Relative Intensity (  )
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
