Relative Intensity vs Linear Position, Run #3
Linear Position ( m )	Relative Intensity (  )
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
-1.995E-5	0.04
-1.995E-5	0.04
-3.990E-5	0.04
-3.990E-5	0.04
-3.990E-5	0.04
-1.995E-5	0.04
-1.995E-5	0.04
-3.990E-5	0.04
-3.990E-5	0.04
-3.990E-5	0.04
-1.995E-5	0.04
-3.990E-5	0.04
-7.980E-5	0.04
-1.197E-4	0.04
-1.995E-4	0.04
-2.793E-4	0.04
-4.190E-4	0.04
-5.187E-4	0.04
-5.985E-4	0.04
-6.783E-4	0.04
-7.581E-4	0.04
-8.579E-4	0.04
-9.975E-4	0.04
-0.001	0.04
-0.001	0.04
-0.001	0.04
-0.001	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.05
-0.002	0.04
-0.002	0.05
-0.002	0.05
-0.002	0.05
-0.003	0.04
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.04
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.05
-0.003	0.04
