Relative Intensity vs Linear Position, Run #2
Linear Position ( m )	Relative Intensity (  )
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
0.000	0.04
1.995E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
5.985E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
3.990E-5	0.04
1.995E-5	0.04
-1.995E-5	0.04
-1.397E-4	0.04
-1.995E-4	0.04
-2.593E-4	0.04
-3.990E-4	0.04
-5.785E-4	0.04
-7.780E-4	0.04
-0.001	0.04
-0.001	0.04
-0.001	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.002	0.04
-0.003	0.05
-0.003	0.05
-0.003	0.04
-0.003	0.04
-0.004	0.04
-0.004	0.04
