Angular Position ( deg )	Relative Intensity (  )
0.0	2660.12
0.0	2660.35
0.0	2659.87
0.0	2659.95
0.0	2660.22
0.0	2660.19
0.0	2660.63
0.0	2660.68
0.0	2661.01
0.0	2660.73
0.0	2661.05
0.0	2660.78
0.0	2660.76
0.0	2660.85
0.0	2660.63
0.0	2660.62
0.0	2660.73
0.0	2661.12
0.0	2660.56
0.0	2660.55
0.0	2660.42
0.0	2660.26
0.0	2660.72
0.0	2660.79
0.0	2660.68
0.0	2660.49
0.0	2660.91
0.0	2660.48
0.2	2657.51
0.5	2645.60
1.1	2637.03
2.3	2614.63
3.2	2593.46
4.4	2567.12
5.9	2530.61
7.6	2479.49
9.6	2415.81
11.8	2339.87
14.1	2257.93
16.5	2169.33
18.9	2070.57
21.1	1978.71
23.1	1888.51
25.2	1798.77
27.3	1703.61
29.3	1609.72
31.4	1495.25
33.8	1389.06
35.6	1298.67
37.4	1217.94
37.6	1198.89
37.6	1198.77
37.6	1200.81
37.6	1201.73
37.6	1202.13
37.6	1201.46
37.6	1201.18
37.6	1201.52
37.6	1201.47
37.6	1202.13
37.6	1201.26
37.6	1201.64
37.6	1201.70
37.6	1201.22
37.6	1200.96
39.0	1146.58
40.9	1056.49
42.9	960.87
44.8	875.67
46.8	789.66
48.9	703.66
50.9	608.96
52.9	543.81
54.7	477.38
56.6	410.90
58.5	350.18
60.4	294.31
62.4	238.23
64.6	185.10
66.7	146.86
68.9	107.25
70.9	78.51
72.9	56.81
74.5	45.55
75.2	41.90
75.1	41.85
75.1	41.92
75.1	41.94
75.1	42.00
75.1	41.98
75.1	42.00
75.1	41.98
75.1	41.99
75.1	41.98
75.1	41.93
75.1	42.09
75.1	42.02
75.2	41.15
78.2	33.51
80.6	38.42
82.8	49.48
85.0	70.22
87.1	99.01
89.5	132.73
92.2	185.99
95.0	256.42
97.8	337.59
100.4	422.85
103.3	523.31
106.3	638.91
108.8	738.20
111.0	832.82
112.6	905.10
113.2	934.93
113.2	935.90
113.2	935.69
113.2	935.31
113.2	935.18
113.2	935.19
113.2	934.98
113.2	935.18
113.2	935.24
113.2	935.03
113.2	935.30
113.2	935.37
113.2	935.43
113.2	935.02
113.2	939.30
115.6	1045.93
118.4	1179.38
121.1	1314.78
124.0	1447.10
126.5	1572.37
129.2	1702.00
132.2	1838.84
135.2	1993.30
138.2	2117.52
141.1	2238.56
143.9	2348.16
146.0	2424.75
148.1	2488.21
148.7	2510.43
150.0	2555.35
150.2	2557.10
150.1	2557.11
150.1	2557.58
150.1	2557.17
150.1	2557.54
150.1	2557.20
150.1	2556.72
150.1	2556.84
150.1	2556.72
150.1	2556.68
150.1	2556.72
150.1	2557.08
150.1	2557.25
151.8	2591.53
154.8	2664.71
157.5	2720.44
159.6	2760.04
161.6	2783.50
163.7	2799.16
166.2	2802.27
169.0	2802.17
171.8	2792.10
175.0	2769.58
177.8	2729.71
180.5	2682.11
182.9	2628.27
185.3	2557.24
187.9	2481.18
189.5	2425.63
189.5	2420.89
189.5	2421.39
189.5	2430.43
189.4	2435.86
189.4	2436.72
189.3	2437.63
189.3	2437.72
189.3	2437.59
189.3	2437.44
189.3	2437.89
189.3	2437.17
189.3	2437.44
189.3	2436.69
189.3	2437.72
189.3	2435.91
189.3	2435.32
189.3	2430.07
191.0	2377.04
194.5	2251.90
197.2	2141.62
199.8	2033.62
202.4	1923.71
205.0	1797.24
207.6	1677.20
210.4	1547.01
213.0	1425.31
215.4	1314.96
217.9	1197.87
220.4	1081.72
222.7	979.18
224.5	894.89
224.6	880.87
224.6	879.34
224.6	881.79
224.6	882.14
224.6	882.35
224.6	882.02
224.6	881.90
224.6	881.73
224.6	881.87
224.6	881.90
224.6	881.90
224.6	882.18
