Angular Position ( deg )	Relative Intensity (  )
224.6	882.12
224.6	881.99
224.6	881.87
224.6	881.59
224.6	881.08
224.9	872.22
225.9	826.55
227.3	767.22
228.8	706.26
230.6	635.61
232.6	554.35
235.4	451.66
238.1	374.79
240.8	290.69
244.0	210.14
246.9	146.47
249.8	96.06
252.7	63.16
255.5	41.40
258.0	34.01
259.0	33.70
258.9	33.65
258.9	33.71
258.9	33.66
258.9	33.69
258.9	33.70
258.9	33.72
258.9	33.82
258.9	33.71
258.9	33.74
258.9	33.71
258.9	33.78
258.9	33.73
258.9	33.78
258.9	33.74
258.9	33.69
259.9	35.06
262.0	42.85
263.9	57.31
265.7	76.73
267.6	99.72
270.5	150.98
273.7	222.62
277.1	315.87
280.9	433.96
284.5	562.14
287.9	680.48
291.3	843.85
294.2	972.88
296.6	1077.26
298.4	1166.62
300.0	1230.12
300.1	1241.36
300.1	1241.96
300.1	1241.53
300.1	1239.73
300.1	1239.75
300.1	1239.38
300.1	1238.93
300.1	1239.74
300.1	1239.57
300.1	1239.19
300.1	1239.24
300.1	1240.12
300.1	1239.81
300.1	1239.48
300.1	1240.32
300.1	1241.49
301.7	1308.85
303.9	1421.34
306.4	1539.31
309.2	1671.21
312.2	1805.12
315.2	1957.47
318.3	2095.74
321.4	2218.52
324.7	2340.82
327.6	2445.65
330.4	2529.08
332.6	2594.07
333.9	2628.69
334.0	2629.41
334.0	2630.44
334.0	2629.24
334.0	2624.29
333.9	2619.04
333.9	2617.39
333.9	2617.61
333.9	2617.73
333.9	2617.87
333.9	2617.73
333.9	2616.95
333.9	2616.89
333.9	2619.01
333.9	2618.87
333.9	2619.18
333.9	2619.64
333.9	2620.05
333.9	2621.18
333.9	2622.80
335.1	2638.44
337.4	2684.74
339.6	2720.16
342.0	2755.71
344.5	2774.44
347.2	2783.24
350.5	2777.26
353.6	2756.87
356.9	2728.58
360.1	2670.88
363.1	2614.11
365.8	2552.71
368.9	2472.77
371.3	2392.66
374.0	2283.23
377.0	2173.67
378.5	2118.13
378.5	2117.39
378.5	2117.37
378.5	2118.08
378.5	2118.35
378.5	2118.00
378.5	2118.34
378.5	2117.51
378.5	2118.48
378.5	2117.42
378.5	2117.27
378.5	2117.88
378.5	2118.07
378.5	2116.96
378.5	2117.56
378.5	2118.11
378.5	2116.52
379.9	2063.37
382.5	1955.34
385.0	1845.26
387.7	1721.59
391.1	1538.13
394.6	1379.76
398.2	1208.99
401.8	1041.33
405.2	884.74
408.7	730.44
412.1	595.29
415.1	481.84
417.6	394.99
419.4	340.24
419.6	333.63
419.6	333.78
419.6	334.40
419.6	335.49
419.6	335.51
419.6	335.46
419.6	335.52
419.6	335.55
419.6	335.47
419.6	335.41
419.6	335.12
419.6	335.23
419.6	335.23
419.6	335.01
419.6	335.03
419.6	335.00
419.6	334.60
420.6	313.91
423.8	222.74
426.4	162.62
429.9	99.56
434.1	56.31
438.4	33.84
442.7	43.15
447.0	85.59
450.5	143.48
453.2	199.27
453.5	206.75
453.5	206.94
453.5	206.91
453.5	206.60
453.5	205.70
453.5	204.08
453.5	203.96
453.5	204.06
453.5	204.20
453.5	203.99
453.5	204.05
453.5	204.12
453.5	204.25
453.5	204.10
453.5	204.55
454.7	226.20
456.4	278.98
457.9	325.52
459.7	376.35
461.6	441.64
464.5	527.06
467.0	632.25
469.6	734.47
472.6	885.34
475.3	999.29
477.0	1074.83
477.1	1084.90
477.1	1085.18
477.1	1084.87
477.1	1085.81
477.1	1086.63
477.1	1085.02
477.1	1080.08
477.1	1080.20
477.1	1081.44
477.1	1081.04
477.1	1081.22
477.1	1081.20
477.1	1081.17
477.1	1080.41
477.1	1080.74
477.1	1081.41
477.3	1090.89
478.4	1141.51
480.2	1236.98
482.9	1364.11
485.8	1504.11
488.4	1628.76
491.3	1781.88
494.3	1917.38
497.4	2055.93
500.2	2168.93
502.9	2271.93
504.9	2346.20
506.9	2416.81
509.0	2493.02
510.5	2538.37
511.6	2571.25
512.2	2591.47
512.4	2597.49
512.4	2597.51
512.4	2598.14
512.4	2598.47
512.4	2598.00
512.4	2598.50
512.4	2598.58
512.4	2599.02
512.4	2599.49
512.4	2599.84
512.4	2599.57
512.4	2599.57
512.4	2600.28
514.1	2630.70
516.5	2690.21
518.9	2734.62
521.4	2767.87
523.6	2794.90
526.1	2804.84
528.6	2813.17
531.3	2801.94
534.1	2778.62
537.0	2743.36
