Angular Position ( deg )	Relative Intensity (  )
0.0	458.03
0.0	457.99
0.0	457.85
0.0	458.07
0.0	457.99
0.0	458.11
0.0	458.36
0.0	457.85
0.0	458.17
0.0	458.22
0.0	457.87
0.0	457.92
0.0	458.33
0.0	458.30
0.0	457.88
0.0	458.02
0.0	457.99
0.0	457.89
0.0	458.27
0.0	458.37
0.0	457.88
0.0	458.00
0.0	457.87
0.0	457.92
0.0	458.09
0.0	457.86
0.0	457.77
0.0	457.81
0.0	458.04
0.0	458.30
0.0	458.07
0.0	457.86
0.0	458.10
0.0	457.99
0.0	458.32
0.0	458.33
0.0	458.11
0.0	457.95
0.0	457.84
0.0	458.09
0.0	457.77
0.0	457.97
0.0	457.93
0.0	457.99
0.0	457.97
0.0	458.04
0.0	458.09
0.0	457.89
0.0	458.34
0.0	458.01
0.0	458.25
0.0	457.80
0.1	456.62
0.1	454.59
0.1	454.38
0.1	452.88
0.2	450.99
0.3	446.68
2.1	385.20
5.0	297.38
7.8	230.27
9.8	177.24
13.1	116.68
15.1	86.46
17.0	66.90
18.6	51.06
20.4	39.87
22.6	34.52
23.9	34.87
25.0	37.08
24.9	36.98
24.9	36.92
24.9	36.91
24.9	36.78
24.9	36.88
24.9	36.86
24.9	36.91
24.9	36.92
25.0	37.04
25.0	37.17
25.2	37.55
26.5	42.97
26.4	43.15
26.5	43.36
26.5	43.51
26.5	43.83
28.4	57.03
28.5	57.61
29.9	69.97
31.3	88.03
33.0	114.84
35.0	151.35
37.2	190.12
39.0	234.10
41.4	300.75
44.0	379.96
46.2	452.77
49.1	557.05
51.6	656.73
53.0	720.59
55.3	812.35
56.8	880.40
59.1	982.98
61.2	1075.96
61.4	1086.18
61.4	1084.03
61.3	1080.99
61.3	1078.92
61.3	1077.75
61.3	1077.46
61.3	1078.10
61.3	1078.71
61.3	1078.16
61.3	1078.58
61.3	1078.75
61.3	1082.51
61.4	1089.66
61.5	1097.37
63.5	1180.57
65.3	1279.33
67.2	1372.71
69.3	1468.71
71.6	1577.39
74.0	1691.54
76.9	1817.99
79.7	1950.92
82.9	2113.12
86.0	2232.44
90.0	2374.88
93.8	2507.28
97.1	2597.21
101.1	2682.51
104.0	2738.94
105.9	2764.30
107.4	2776.04
107.4	2775.44
107.6	2773.68
107.5	2773.57
107.5	2773.51
107.5	2774.91
107.5	2775.46
107.5	2772.95
107.5	2773.21
107.5	2773.46
107.5	2774.20
107.5	2775.27
107.6	2773.73
107.6	2772.13
107.6	2768.78
107.6	2766.48
107.7	2767.40
109.6	2779.80
110.9	2786.28
111.0	2785.96
111.4	2787.14
113.6	2788.84
114.8	2785.83
116.2	2779.98
118.4	2763.91
120.8	2733.66
123.1	2702.32
126.3	2648.10
129.2	2570.40
132.8	2481.22
135.6	2393.29
138.6	2287.13
141.7	2176.37
145.1	2041.33
149.0	1870.98
152.6	1705.13
155.8	1539.40
158.0	1438.71
158.4	1417.73
158.5	1417.59
158.6	1416.74
158.5	1421.11
158.5	1420.96
158.5	1420.71
158.5	1421.10
158.5	1421.88
158.5	1422.25
158.5	1422.71
158.5	1422.38
158.5	1422.29
158.6	1417.81
158.7	1411.92
158.9	1384.30
