Angular Position ( deg )	Relative Intensity (  )
160.1	1333.64
162.6	1219.20
164.3	1140.70
166.2	1055.12
167.5	993.56
168.8	937.65
170.7	849.44
173.4	734.65
175.6	643.84
177.2	581.70
178.0	549.29
178.0	550.55
178.0	550.69
178.0	551.00
178.0	550.91
178.0	548.92
178.1	549.34
178.1	548.39
178.1	548.47
177.8	558.42
177.8	559.64
177.8	560.03
177.8	561.83
177.8	562.49
177.8	562.81
177.8	562.62
177.8	562.09
177.8	553.42
177.9	549.01
177.9	545.85
178.0	532.19
179.6	476.54
181.6	407.07
181.9	396.54
183.8	340.78
185.9	280.21
188.4	219.57
191.1	167.11
194.2	108.33
198.0	59.82
201.3	39.85
205.2	36.16
209.8	66.08
213.0	104.59
217.9	192.28
221.9	298.61
225.1	391.38
226.8	453.58
227.4	473.92
227.4	474.88
227.4	473.97
227.4	474.34
227.4	474.11
227.4	473.35
227.4	471.89
227.4	471.60
227.4	471.96
227.4	473.95
227.4	477.14
228.9	531.74
230.6	590.77
233.6	706.22
235.9	808.07
238.7	931.63
241.3	1051.75
244.8	1221.42
248.8	1429.40
253.3	1652.54
258.6	1897.88
262.8	2086.73
266.7	2243.99
270.9	2399.70
274.9	2526.40
276.6	2591.59
277.0	2600.70
277.1	2600.23
276.9	2593.78
276.9	2593.74
276.9	2594.08
276.9	2593.59
276.9	2594.25
276.9	2597.41
276.9	2597.08
277.0	2595.97
277.0	2597.96
277.1	2602.28
278.3	2631.01
281.0	2678.07
284.2	2722.84
287.1	2759.24
290.3	2787.47
293.6	2790.25
296.8	2780.36
300.3	2742.76
304.4	2677.26
308.8	2593.77
313.0	2466.32
319.1	2270.32
323.4	2116.31
325.0	2044.82
325.0	2039.68
325.0	2039.26
325.0	2040.49
325.0	2040.46
325.0	2044.92
325.0	2045.82
325.0	2046.44
325.0	2046.80
325.0	2048.19
325.0	2048.45
325.0	2048.04
325.0	2045.88
325.0	2044.05
325.0	2039.36
325.1	2036.19
325.1	2033.45
327.2	1953.69
327.4	1933.54
329.0	1862.00
330.6	1793.15
330.8	1787.58
332.9	1687.51
335.6	1556.96
338.1	1431.46
341.0	1276.89
344.3	1126.87
347.2	983.99
351.7	787.59
355.4	635.77
358.4	517.55
365.5	335.64
366.4	288.12
366.3	288.97
366.2	293.03
366.1	292.84
366.1	290.67
366.1	291.06
366.1	294.61
366.1	294.48
366.1	294.67
366.1	294.75
366.1	294.41
366.1	294.74
366.1	294.53
366.1	294.09
366.1	292.60
366.2	291.23
366.2	289.76
367.8	246.79
369.8	197.19
371.1	167.68
372.1	146.89
372.2	145.48
374.3	110.06
374.8	96.93
374.8	93.12
374.9	91.23
374.9	89.63
374.9	88.77
374.9	88.18
374.9	87.43
374.9	87.42
374.9	87.53
374.9	87.96
374.9	88.77
374.9	91.74
374.9	92.70
374.9	99.35
374.9	101.80
374.9	103.79
374.8	104.37
374.7	106.41
374.7	106.45
374.7	106.96
374.7	107.27
374.7	107.44
374.7	107.41
374.7	106.87
374.8	106.24
374.8	104.96
374.9	103.74
374.9	102.14
374.9	101.31
374.9	100.58
377.6	65.75
380.6	42.94
382.2	36.43
382.2	36.38
383.1	34.81
383.4	34.06
383.4	34.05
383.4	34.06
384.9	34.42
387.0	41.85
389.3	56.17
390.8	71.33
391.7	81.35
394.2	113.47
394.9	129.92
394.8	130.95
395.0	131.85
395.1	135.92
395.1	134.50
395.0	132.21
395.0	132.11
395.0	132.04
395.0	132.01
395.0	131.73
395.0	131.76
395.0	132.72
395.1	134.61
396.3	153.33
398.0	192.10
399.0	211.02
402.0	291.33
406.1	408.62
408.7	501.76
413.1	670.96
418.1	880.93
421.3	1042.76
425.8	1248.13
429.3	1415.94
433.2	1586.45
436.7	1753.89
439.9	1924.43
442.4	2030.22
443.4	2074.67
443.4	2076.04
443.4	2076.07
443.4	2071.36
443.3	2071.16
443.3	2068.72
443.3	2068.58
443.3	2068.87
443.3	2068.67
443.3	2067.70
443.3	2068.22
443.3	2069.43
443.4	2075.43
443.4	2076.64
444.1	2109.05
445.4	2162.41
447.5	2238.68
450.0	2328.53
452.5	2419.82
455.3	2504.93
458.2	2601.56
461.9	2674.54
466.2	2740.71
470.3	2775.39
474.2	2780.47
477.8	2770.89
480.9	2743.52
483.2	2713.67
485.1	2679.51
486.3	2658.48
486.2	2657.35
486.2	2657.84
486.2	2657.78
486.2	2660.48
486.2	2659.78
486.2	2660.10
486.2	2659.69
486.2	2659.71
486.2	2659.77
486.2	2659.89
486.2	2659.74
486.2	2660.17
486.2	2659.96
486.2	2659.93
486.2	2659.94
486.2	2659.76
486.2	2659.76
486.2	2660.15
486.2	2660.11
486.2	2660.04
486.2	2659.65
486.2	2659.84
486.2	2659.87
486.2	2659.98
486.2	2659.99
486.2	2659.66
486.2	2660.20
486.2	2660.14
486.2	2660.30
